,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,9
2,Xx,PRON,2
3,Xxx,CCONJ,2
4,Xxx,PRON,2
5,Xxxx,ADV,1
6,Xxxx,PRON,1
7,Xxxxx,DET,1
8,Xxxxx,PROPN,9
9,other.,PUNCT,4
10,x,DET,5
11,xx,ADP,9
12,xx,ADV,2
13,xx,DET,1
14,xx,PART,1
15,xx,PRON,1
16,xx,PROPN,1
17,xxx,ADJ,1
18,xxx,ADP,2
19,xxx,ADV,1
20,xxx,AUX,2
21,xxx,CCONJ,5
22,xxx,DET,10
23,xxx,NOUN,5
24,xxx,PRON,8
25,xxx,VERB,4
26,xxxx,ADJ,22
27,xxxx,ADP,10
28,xxxx,ADV,9
29,xxxx,AUX,1
30,xxxx,DET,4
31,xxxx,NOUN,28
32,xxxx,PRON,5
33,xxxx,SCONJ,2
34,xxxx,VERB,20
