,shape,pos,count
0,'xx,AUX,1
1,",",PUNCT,6
2,.,PUNCT,20
3,X,PRON,6
4,Xx,ADP,1
5,Xx,ADV,1
6,Xx,DET,1
7,Xx,PRON,2
8,Xxx,ADV,1
9,Xxx,DET,8
10,Xxx,INTJ,1
11,Xxxx,PRON,1
12,Xxxxx,ADP,1
13,Xxxxx,NOUN,6
14,Xxxxx,PROPN,1
15,other.,PUNCT,11
16,other.,SPACE,2
17,xx,ADP,10
18,xx,AUX,1
19,xx,PART,1
20,xx,PRON,1
21,xxx,ADP,3
22,xxx,ADV,2
23,xxx,AUX,5
24,xxx,CCONJ,1
25,xxx,DET,20
26,xxx,NOUN,2
27,xxx,PRON,2
28,xxx,SCONJ,3
29,xxx,VERB,6
30,xxxx,ADJ,14
31,xxxx,ADP,3
32,xxxx,ADV,7
33,xxxx,AUX,4
34,xxxx,DET,1
35,xxxx,NOUN,29
36,xxxx,PRON,3
37,xxxx,VERB,20
