,shape,pos,count
0,'x,PART,1
1,",",PUNCT,16
2,.,PUNCT,9
3,X,PRON,5
4,Xx,ADP,1
5,Xx,PRON,2
6,Xxx,PART,1
7,Xxxx,DET,1
8,Xxxxx,PROPN,1
9,Xxxxx,VERB,1
10,other.,PUNCT,4
11,x,DET,6
12,xx,ADP,9
13,xx,ADV,1
14,xx,AUX,1
15,xx,DET,3
16,xx,PART,2
17,xx,PRON,9
18,xxx,ADJ,1
19,xxx,ADP,2
20,xxx,ADV,2
21,xxx,AUX,5
22,xxx,CCONJ,7
23,xxx,DET,7
24,xxx,NOUN,4
25,xxx,PART,2
26,xxx,PRON,6
27,xxx,VERB,4
28,xxxx,ADJ,20
29,xxxx,ADP,6
30,xxxx,ADV,9
31,xxxx,AUX,1
32,xxxx,DET,5
33,xxxx,NOUN,29
34,xxxx,SCONJ,4
35,xxxx,VERB,16
