,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,6
2,X,PRON,1
3,Xx,ADP,1
4,Xxx,DET,2
5,Xxx,PRON,1
6,Xxxx,ADV,1
7,Xxxx,INTJ,1
8,other.,PUNCT,1
9,x,DET,5
10,x'x,PART,2
11,xx,ADP,11
12,xx,AUX,1
13,xx,DET,1
14,xx,PART,3
15,xx,PRON,6
16,xx,VERB,4
17,xxx,ADJ,2
18,xxx,ADP,2
19,xxx,ADV,1
20,xxx,AUX,1
21,xxx,CCONJ,12
22,xxx,DET,8
23,xxx,NOUN,1
24,xxx,PRON,8
25,xxx,SCONJ,1
26,xxx,VERB,5
27,xxxx,ADJ,6
28,xxxx,ADP,4
29,xxxx,ADV,9
30,xxxx,AUX,2
31,xxxx,NOUN,24
32,xxxx,PRON,7
33,xxxx,SCONJ,1
34,xxxx,VERB,15
35,xxxx'x,VERB,1
36,"xxxx,—xxxx",PROPN,1
