,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,6
3,Xx,PRON,2
4,Xx.,PROPN,2
5,Xxx,DET,1
6,Xxxx,PROPN,3
7,Xxxxx,ADV,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,7
11,x,DET,5
12,xx,ADP,12
13,xx,CCONJ,1
14,xx,DET,1
15,xx,PART,4
16,xx,PRON,3
17,xx,VERB,2
18,xxx,ADP,2
19,xxx,AUX,5
20,xxx,CCONJ,10
21,xxx,DET,6
22,xxx,NOUN,4
23,xxx,NUM,1
24,xxx,PRON,13
25,xxx,VERB,3
26,xxxx,ADJ,17
27,xxxx,ADP,2
28,xxxx,ADV,13
29,xxxx,AUX,4
30,xxxx,CCONJ,1
31,xxxx,NOUN,36
32,xxxx,PRON,1
33,xxxx,SCONJ,6
34,xxxx,VERB,16
