,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,6
2,Xx,PRON,4
3,Xxx,CCONJ,1
4,Xxxx,DET,1
5,Xxxxx,NOUN,1
6,Xxxxx,PROPN,1
7,other.,PUNCT,5
8,x,DET,6
9,xx,ADP,14
10,xx,AUX,5
11,xx,CCONJ,1
12,xx,PART,2
13,xx,PRON,7
14,xx,SCONJ,1
15,xxx,ADJ,1
16,xxx,ADP,4
17,xxx,ADV,2
18,xxx,AUX,2
19,xxx,CCONJ,7
20,xxx,DET,7
21,xxx,NOUN,7
22,xxx,NUM,1
23,xxx,PART,3
24,xxx,PRON,4
25,xxx,SCONJ,1
26,xxx,VERB,3
27,xxxx,ADJ,12
28,xxxx,ADP,2
29,xxxx,ADV,7
30,xxxx,AUX,5
31,xxxx,DET,9
32,xxxx,NOUN,19
33,xxxx,PRON,7
34,xxxx,SCONJ,1
35,xxxx,VERB,16
36,"xxxx,—xxxx",PROPN,1
