,shape,pos,count
0,",",PUNCT,4
1,.,PUNCT,11
2,Xx,PART,1
3,Xxx,DET,2
4,Xxxx,DET,1
5,Xxxx,NOUN,1
6,Xxxxx,ADJ,3
7,Xxxxx,NOUN,2
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,2
10,dddd.Xx,NUM,1
11,other.,ADJ,1
12,other.,PROPN,1
13,other.,PUNCT,9
14,x,DET,2
15,xx,ADP,13
16,xx,AUX,8
17,xx,CCONJ,1
18,xx,DET,6
19,xx,PART,6
20,xx,PRON,3
21,xxx,ADJ,1
22,xxx,ADP,3
23,xxx,ADV,1
24,xxx,AUX,7
25,xxx,CCONJ,5
26,xxx,DET,8
27,xxx,NOUN,1
28,xxx,NUM,1
29,xxx,PART,1
30,xxx,PRON,1
31,xxx,VERB,1
32,xxxx,ADJ,18
33,xxxx,ADP,4
34,xxxx,ADV,7
35,xxxx,AUX,1
36,xxxx,NOUN,41
37,xxxx,SCONJ,2
38,xxxx,VERB,24
