,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,7
2,Xx,ADP,1
3,Xxx,DET,1
4,Xxx,PRON,1
5,Xxxx,DET,1
6,Xxxx,NUM,1
7,Xxxxx,ADV,2
8,Xxxxx,PROPN,3
9,Xxxxx,VERB,1
10,other.,PUNCT,5
11,x,DET,10
12,xx,ADP,10
13,xx,PART,1
14,xx,PRON,1
15,xxx,ADJ,1
16,xxx,ADP,2
17,xxx,ADV,1
18,xxx,AUX,6
19,xxx,CCONJ,4
20,xxx,DET,11
21,xxx,NOUN,2
22,xxx,PART,2
23,xxx,PRON,4
24,xxx,VERB,3
25,xxxx,ADJ,16
26,xxxx,ADP,4
27,xxxx,ADV,11
28,xxxx,AUX,1
29,xxxx,DET,3
30,xxxx,NOUN,26
31,xxxx,NUM,1
32,xxxx,PRON,5
33,xxxx,SCONJ,1
34,xxxx,VERB,17
