,shape,pos,count
0,'x,PART,1
1,'x,PRON,1
2,",",PUNCT,8
3,.,PUNCT,11
4,Xx,ADP,1
5,Xx,PART,1
6,Xx,PRON,1
7,Xx,SCONJ,1
8,Xxx,CCONJ,1
9,Xxx,DET,1
10,Xxx,VERB,1
11,Xxxx,DET,1
12,Xxxxx,ADJ,1
13,Xxxxx,NOUN,1
14,Xxxxx,PROPN,1
15,Xxxxx,SCONJ,1
16,other.,PUNCT,3
17,x,DET,10
18,xx,ADP,15
19,xx,AUX,4
20,xx,CCONJ,1
21,xx,PART,4
22,xx,PRON,3
23,xxx,ADJ,2
24,xxx,ADP,3
25,xxx,ADV,2
26,xxx,AUX,2
27,xxx,CCONJ,3
28,xxx,DET,21
29,xxx,NOUN,1
30,xxx,PRON,1
31,xxx,VERB,5
32,xxxx,ADJ,11
33,xxxx,ADP,7
34,xxxx,ADV,6
35,xxxx,AUX,4
36,xxxx,DET,7
37,xxxx,NOUN,51
38,xxxx,PRON,2
39,xxxx,VERB,23
