,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,7
2,X,DET,2
3,Xd,PROPN,1
4,XdX,PROPN,1
5,Xx,ADP,1
6,Xxxxx,ADV,1
7,Xxxxx,NOUN,2
8,Xxxxx,VERB,1
9,other.,ADJ,1
10,other.,PUNCT,5
11,x,DET,2
12,xx,ADP,18
13,xx,ADV,1
14,xx,AUX,4
15,xx,CCONJ,3
16,xx,DET,1
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADJ,1
20,xxx,ADP,1
21,xxx,AUX,5
22,xxx,CCONJ,2
23,xxx,DET,4
24,xxx,NOUN,1
25,xxx,NUM,2
26,xxx,PART,1
27,xxx,PRON,1
28,xxx,VERB,1
29,xxxx,ADJ,17
30,xxxx,ADP,3
31,xxxx,ADV,10
32,xxxx,AUX,1
33,xxxx,DET,1
34,xxxx,NOUN,40
35,xxxx,PRON,2
36,xxxx,SCONJ,1
37,xxxx,VERB,11
