,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,7
2,Xx,ADP,1
3,Xx,ADV,2
4,Xx,PART,1
5,Xx,SCONJ,1
6,Xxx,CCONJ,2
7,Xxxxx,PROPN,6
8,other.,PUNCT,2
9,x,DET,7
10,xx,ADP,30
11,xx,ADV,1
12,xx,AUX,4
13,xx,DET,1
14,xx,PART,1
15,xx,PRON,3
16,xx,SCONJ,1
17,xx,VERB,3
18,xxx,ADP,2
19,xxx,ADV,1
20,xxx,AUX,2
21,xxx,CCONJ,1
22,xxx,DET,14
23,xxx,NOUN,1
24,xxx,PRON,2
25,xxx,SCONJ,1
26,xxx,VERB,2
27,xxxx,ADJ,16
28,xxxx,ADP,2
29,xxxx,ADV,7
30,xxxx,AUX,3
31,xxxx,DET,5
32,xxxx,NOUN,35
33,xxxx,PRON,6
34,xxxx,SCONJ,1
35,xxxx,VERB,14
