,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,11
3,X,PRON,2
4,Xx,ADV,2
5,Xx,PRON,1
6,Xxx,DET,1
7,Xxx,NUM,1
8,Xxxx,ADV,2
9,Xxxx,VERB,2
10,Xxxxx,ADJ,1
11,Xxxxx,ADP,1
12,Xxxxx,ADV,1
13,other.,PUNCT,7
14,x,DET,2
15,xx,ADP,13
16,xx,AUX,1
17,xx,INTJ,1
18,xx,PART,4
19,xx,PRON,12
20,xxx,ADP,1
21,xxx,ADV,1
22,xxx,AUX,5
23,xxx,CCONJ,7
24,xxx,DET,9
25,xxx,NUM,2
26,xxx,PRON,2
27,xxx,VERB,5
28,xxxx,ADJ,4
29,xxxx,ADP,4
30,xxxx,ADV,9
31,xxxx,AUX,3
32,xxxx,DET,6
33,xxxx,NOUN,20
34,xxxx,NUM,1
35,xxxx,PRON,12
36,xxxx,SCONJ,4
37,xxxx,VERB,30
