,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,18
2,X,PRON,3
3,Xx,ADP,1
4,Xx,INTJ,2
5,Xxx,AUX,1
6,Xxx,DET,2
7,Xxx,PRON,1
8,Xxxx,PRON,4
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,6
11,Xxxxx,SCONJ,1
12,other.,PUNCT,16
13,x,DET,1
14,x'x,PART,1
15,xx,ADP,3
16,xx,ADV,1
17,xx,AUX,2
18,xx,PART,4
19,xx,PRON,4
20,xxx,AUX,3
21,xxx,CCONJ,1
22,xxx,DET,8
23,xxx,NUM,4
24,xxx,PART,1
25,xxx,PRON,7
26,xxxx,ADJ,9
27,xxxx,ADP,5
28,xxxx,ADV,5
29,xxxx,AUX,6
30,xxxx,DET,1
31,xxxx,NOUN,21
32,xxxx,PRON,10
33,xxxx,SCONJ,2
34,xxxx,VERB,30
