,shape,pos,count
0,'x,PART,1
1,",",PUNCT,7
2,.,PUNCT,12
3,X,DET,1
4,Xx,ADP,1
5,Xx,PRON,1
6,Xxx,DET,2
7,Xxx,PRON,3
8,Xxx,PROPN,1
9,Xxxx,DET,1
10,Xxxx,PROPN,2
11,Xxxxx,ADV,1
12,Xxxxx,PRON,1
13,Xxxxx,PROPN,2
14,other.,PUNCT,5
15,x,DET,3
16,xx,ADP,14
17,xx,PART,2
18,xx,PRON,2
19,xxx,ADJ,1
20,xxx,ADP,3
21,xxx,ADV,1
22,xxx,AUX,4
23,xxx,CCONJ,6
24,xxx,DET,19
25,xxx,NOUN,3
26,xxx,NUM,2
27,xxx,PART,2
28,xxx,PRON,8
29,xxx,VERB,5
30,xxxx,ADJ,14
31,xxxx,ADP,10
32,xxxx,ADV,7
33,xxxx,AUX,3
34,xxxx,DET,3
35,xxxx,NOUN,36
36,xxxx,PRON,2
37,xxxx,VERB,17
