,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,8
2,X,DET,1
3,Xx,ADP,1
4,Xx,CCONJ,1
5,Xx,PART,1
6,Xxx,ADP,1
7,Xxx,DET,2
8,Xxx,PRON,1
9,Xxxxx,ADJ,1
10,Xxxxx,SCONJ,1
11,other.,PUNCT,4
12,x,DET,8
13,xx,ADP,11
14,xx,AUX,2
15,xx,CCONJ,2
16,xx,DET,1
17,xx,PART,4
18,xx,PRON,5
19,xx,SCONJ,1
20,xx,VERB,2
21,xxx,ADJ,1
22,xxx,AUX,3
23,xxx,CCONJ,6
24,xxx,DET,13
25,xxx,PART,1
26,xxx,VERB,4
27,xxxx,ADJ,19
28,xxxx,ADP,6
29,xxxx,ADV,5
30,xxxx,AUX,3
31,xxxx,DET,4
32,xxxx,NOUN,50
33,xxxx,PRON,4
34,xxxx,SCONJ,6
35,xxxx,VERB,23
