,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,8
2,Xx,ADP,2
3,Xxx,DET,1
4,Xxx,PART,1
5,Xxx,PRON,1
6,Xxxxx,DET,1
7,Xxxxx,PRON,1
8,Xxxxx,PROPN,5
9,other.,PUNCT,4
10,x,DET,5
11,xx,ADP,7
12,xx,DET,1
13,xx,PART,1
14,xx,PRON,2
15,xx,SCONJ,2
16,xxx,ADP,1
17,xxx,ADV,1
18,xxx,AUX,4
19,xxx,CCONJ,8
20,xxx,DET,9
21,xxx,NOUN,2
22,xxx,NUM,2
23,xxx,PART,1
24,xxx,PRON,15
25,xxx,VERB,4
26,xxxx,ADJ,14
27,xxxx,ADP,3
28,xxxx,ADV,7
29,xxxx,AUX,8
30,xxxx,DET,6
31,xxxx,NOUN,32
32,xxxx,PRON,4
33,xxxx,SCONJ,5
34,xxxx,VERB,21
35,"xxxx,—xxxx",PROPN,1
