,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,9
2,X,PRON,1
3,Xxx,DET,2
4,Xxxx,AUX,1
5,Xxxx,DET,2
6,Xxxx,PRON,3
7,Xxxxx,ADJ,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,2
11,x,DET,6
12,xx,ADP,15
13,xx,ADV,1
14,xx,AUX,2
15,xx,DET,1
16,xx,PART,3
17,xx,PRON,4
18,xx,VERB,3
19,xxx,ADJ,3
20,xxx,ADP,2
21,xxx,AUX,8
22,xxx,CCONJ,4
23,xxx,DET,15
24,xxx,NOUN,4
25,xxx,NUM,2
26,xxx,PART,4
27,xxx,PRON,7
28,xxx,VERB,3
29,xxxx,ADJ,15
30,xxxx,ADP,5
31,xxxx,ADV,6
32,xxxx,AUX,7
33,xxxx,DET,4
34,xxxx,NOUN,36
35,xxxx,PRON,4
36,xxxx,SCONJ,1
37,xxxx,VERB,16
38,xxxx?Xx,ADV,1
