,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,6
2,Xx,ADP,1
3,Xxx,ADP,1
4,Xxx,PRON,1
5,Xxxx,DET,1
6,Xxxxx,NOUN,1
7,Xxxxx,VERB,1
8,other.,PUNCT,2
9,x,DET,5
10,xx,ADP,12
11,xx,ADV,3
12,xx,AUX,2
13,xx,CCONJ,4
14,xx,PART,3
15,xx,PRON,2
16,xx,SCONJ,2
17,xx,VERB,4
18,xxx,ADJ,1
19,xxx,ADP,3
20,xxx,ADV,2
21,xxx,AUX,3
22,xxx,CCONJ,2
23,xxx,DET,5
24,xxx,PART,4
25,xxx,PRON,4
26,xxx,VERB,4
27,xxxx,ADJ,20
28,xxxx,ADP,5
29,xxxx,ADV,6
30,xxxx,AUX,4
31,xxxx,DET,5
32,xxxx,NOUN,41
33,xxxx,PRON,9
34,xxxx,SCONJ,2
35,xxxx,VERB,21
36,xxxx!Xxxxx,NOUN,1
