,shape,pos,count
0,'Xxxxx,PROPN,1
1,",",PUNCT,15
2,.,PUNCT,5
3,X,PRON,5
4,Xx,DET,1
5,Xxx,ADP,1
6,Xxx,DET,1
7,Xxx,PRON,1
8,Xxxx,INTJ,1
9,Xxxx,NOUN,1
10,Xxxx,PRON,1
11,other.,PUNCT,22
12,x,DET,4
13,xx,ADP,13
14,xx,ADV,3
15,xx,AUX,1
16,xx,DET,2
17,xx,PART,4
18,xx,PRON,10
19,xx,SCONJ,1
20,xx,VERB,4
21,xx,X,1
22,xxx,ADJ,2
23,xxx,ADP,2
24,xxx,ADV,1
25,xxx,AUX,11
26,xxx,CCONJ,12
27,xxx,DET,10
28,xxx,NOUN,11
29,xxx,PRON,9
30,xxx,VERB,4
31,xxxx,ADJ,14
32,xxxx,ADP,2
33,xxxx,ADV,9
34,xxxx,DET,3
35,xxxx,NOUN,18
36,xxxx,PRON,5
37,xxxx,SCONJ,2
38,xxxx,VERB,29
