,shape,pos,count
0,'x,PART,4
1,",",PUNCT,4
2,.,PUNCT,4
3,Xx,ADP,1
4,Xxx,ADV,1
5,Xxx,CCONJ,2
6,Xxx,DET,1
7,Xxx,PRON,2
8,Xxxx,PROPN,5
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,16
11,other.,PUNCT,16
12,x,DET,2
13,xx,ADP,10
14,xx,ADV,1
15,xx,AUX,2
16,xx,DET,1
17,xx,INTJ,1
18,xx,PART,3
19,xx,PRON,4
20,xx,SCONJ,1
21,xxx,ADJ,3
22,xxx,ADP,1
23,xxx,ADV,2
24,xxx,AUX,6
25,xxx,CCONJ,6
26,xxx,DET,9
27,xxx,NOUN,5
28,xxx,PRON,8
29,xxx,VERB,5
30,xxxx,ADJ,14
31,xxxx,ADP,3
32,xxxx,ADV,13
33,xxxx,DET,6
34,xxxx,INTJ,1
35,xxxx,NOUN,17
36,xxxx,PRON,2
37,xxxx,SCONJ,5
38,xxxx,VERB,18
