,shape,pos,count
0,'x,PART,1
1,",",PUNCT,8
2,.,NUM,2
3,.,PUNCT,8
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,5
7,Xxxxx,ADJ,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,4
10,Xxxxx,SCONJ,1
11,other.,NUM,2
12,other.,PUNCT,8
13,x,DET,3
14,xx,ADP,19
15,xx,PART,7
16,xx,PRON,3
17,xx,SCONJ,1
18,xx,VERB,2
19,xxx,ADP,2
20,xxx,AUX,5
21,xxx,CCONJ,6
22,xxx,DET,11
23,xxx,NOUN,3
24,xxx,NUM,2
25,xxx,PART,2
26,xxx,PRON,1
27,xxx,VERB,4
28,xxxx,ADJ,16
29,xxxx,ADP,4
30,xxxx,ADV,7
31,xxxx,AUX,3
32,xxxx,DET,3
33,xxxx,NOUN,45
34,xxxx,NUM,1
35,xxxx,PRON,5
36,xxxx,SCONJ,3
37,xxxx,VERB,16
