,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,6
2,Xx,DET,1
3,Xx,PRON,1
4,Xxx,CCONJ,1
5,Xxx,NUM,2
6,Xxx,PROPN,3
7,Xxxx,ADV,1
8,other.,PUNCT,7
9,x,DET,6
10,xx,ADP,16
11,xx,ADV,1
12,xx,AUX,2
13,xx,CCONJ,1
14,xx,DET,2
15,xx,PART,5
16,xx,PRON,3
17,xx,SCONJ,3
18,xx,VERB,3
19,xxx,ADJ,1
20,xxx,ADP,2
21,xxx,ADV,2
22,xxx,AUX,1
23,xxx,CCONJ,9
24,xxx,DET,14
25,xxx,NOUN,5
26,xxx,NUM,1
27,xxx,PART,1
28,xxx,PRON,6
29,xxx,VERB,4
30,xxx?Xxxxx,NOUN,1
31,xxxx,ADJ,7
32,xxxx,ADP,6
33,xxxx,ADV,8
34,xxxx,AUX,5
35,xxxx,DET,2
36,xxxx,NOUN,24
37,xxxx,PRON,6
38,xxxx,SCONJ,1
39,xxxx,VERB,24
40,"xxxx,—x",NOUN,1
