,shape,pos,count
0,'x,PART,1
1,",",PUNCT,18
2,.,PUNCT,8
3,X,PRON,9
4,Xx,PRON,1
5,Xxx,ADP,1
6,Xxx,CCONJ,2
7,Xxxxx,PRON,1
8,Xxxxx,PROPN,1
9,other.,PUNCT,9
10,x,DET,4
11,xx,ADP,12
12,xx,ADV,2
13,xx,AUX,3
14,xx,CCONJ,2
15,xx,DET,3
16,xx,PART,8
17,xx,PRON,3
18,xx,VERB,3
19,xxx,ADJ,1
20,xxx,ADP,1
21,xxx,ADV,4
22,xxx,AUX,3
23,xxx,CCONJ,5
24,xxx,DET,10
25,xxx,NOUN,5
26,xxx,NUM,1
27,xxx,PART,3
28,xxx,PRON,7
29,xxx,VERB,2
30,xxxx,ADJ,19
31,xxxx,ADP,4
32,xxxx,ADV,12
33,xxxx,AUX,5
34,xxxx,DET,5
35,xxxx,NOUN,30
36,xxxx,PRON,4
37,xxxx,SCONJ,3
38,xxxx,VERB,25
