,shape,pos,count
0,"""Xxxx",PRON,1
1,",",PUNCT,17
2,.,PUNCT,13
3,X,PRON,3
4,Xx,ADP,1
5,Xx,INTJ,1
6,Xxx,DET,2
7,Xxx,PRON,5
8,Xxxx,DET,1
9,Xxxx,PRON,1
10,Xxxx,PROPN,3
11,Xxxxx,ADV,2
12,Xxxxx,DET,1
13,Xxxxx,NOUN,2
14,Xxxxx,PROPN,3
15,other.,PUNCT,6
16,x,DET,2
17,xx,ADP,14
18,xx,ADV,1
19,xx,AUX,1
20,xx,PART,3
21,xx,PRON,1
22,xx,VERB,2
23,xxx,ADP,3
24,xxx,AUX,6
25,xxx,CCONJ,7
26,xxx,DET,9
27,xxx,NOUN,3
28,xxx,NUM,1
29,xxx,PART,1
30,xxx,PRON,10
31,xxx,VERB,3
32,xxxx,ADJ,11
33,xxxx,ADP,7
34,xxxx,ADV,8
35,xxxx,AUX,5
36,xxxx,DET,1
37,xxxx,NOUN,32
38,xxxx,PRON,7
39,xxxx,SCONJ,2
40,xxxx,VERB,23
