,shape,pos,count
0,"""""Xxx",INTJ,1
1,"""Xx",PUNCT,1
2,'x,PART,1
3,",",PUNCT,18
4,.,PUNCT,6
5,X,PRON,1
6,Xx,ADV,1
7,Xxx,CCONJ,1
8,Xxx,DET,1
9,Xxx,NUM,1
10,Xxxx,DET,1
11,Xxxx,PROPN,6
12,Xxxxx,NOUN,1
13,Xxxxx,PRON,1
14,Xxxxx,PROPN,1
15,other.,PUNCT,8
16,x,DET,6
17,xx,ADP,12
18,xx,AUX,1
19,xx,DET,2
20,xx,PART,1
21,xx,PRON,5
22,xx,VERB,1
23,xxx,ADV,1
24,xxx,AUX,2
25,xxx,CCONJ,4
26,xxx,DET,12
27,xxx,NOUN,2
28,xxx,NUM,2
29,xxx,PART,1
30,xxx,PRON,4
31,xxx,VERB,2
32,"xxx!""Xxxx",ADV,1
33,xxxx,ADJ,8
34,xxxx,ADP,5
35,xxxx,ADV,2
36,xxxx,AUX,3
37,xxxx,DET,4
38,xxxx,NOUN,20
39,xxxx,PRON,7
40,xxxx,VERB,23
