,shape,pos,count
0,'x,AUX,1
1,'xx,AUX,2
2,",",PUNCT,13
3,.,PUNCT,13
4,Xx,ADP,1
5,Xx,PRON,1
6,Xxx,ADV,1
7,Xxx,DET,4
8,Xxx,INTJ,1
9,Xxx,PROPN,1
10,Xxxx,PRON,1
11,Xxxx,SCONJ,1
12,Xxxxx,ADP,1
13,Xxxxx,ADV,1
14,Xxxxx,NOUN,1
15,Xxxxx,PROPN,5
16,Xxxxx,SCONJ,1
17,ddxx,ADJ,1
18,other.,PUNCT,14
19,x,DET,4
20,xx,ADP,17
21,xx,AUX,1
22,xx,PART,2
23,xx,PRON,5
24,xxx,ADJ,2
25,xxx,ADP,2
26,xxx,AUX,4
27,xxx,CCONJ,3
28,xxx,DET,20
29,xxx,NOUN,3
30,xxx,NUM,2
31,xxx,PRON,2
32,xxx,SCONJ,1
33,xxx,VERB,4
34,xxxx,ADJ,12
35,xxxx,ADP,4
36,xxxx,ADV,6
37,xxxx,DET,5
38,xxxx,NOUN,41
39,xxxx,NUM,2
40,xxxx,PRON,6
41,xxxx,SCONJ,4
42,xxxx,VERB,22
