,shape,pos,count
0,'x,PART,2
1,",",PUNCT,17
2,.,PUNCT,7
3,Xxx,AUX,2
4,Xxx,CCONJ,1
5,Xxx,DET,1
6,Xxx,PRON,1
7,Xxx.,PROPN,1
8,Xxxx,DET,1
9,Xxxx,PROPN,6
10,Xxxxx,PROPN,13
11,other.,PUNCT,5
12,x,DET,6
13,xx,ADP,14
14,xx,ADV,1
15,xx,AUX,2
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,6
19,xx,PRON,3
20,xx,VERB,1
21,xx'xx,NOUN,1
22,xxx,ADJ,1
23,xxx,ADP,3
24,xxx,ADV,4
25,xxx,AUX,8
26,xxx,CCONJ,5
27,xxx,DET,7
28,xxx,NOUN,2
29,xxx,NUM,1
30,xxx,PART,2
31,xxx,PRON,17
32,xxx,VERB,3
33,xxxx,ADJ,14
34,xxxx,ADP,5
35,xxxx,ADV,10
36,xxxx,AUX,4
37,xxxx,DET,2
38,xxxx,NOUN,19
39,xxxx,PRON,2
40,xxxx,SCONJ,1
41,xxxx,VERB,26
