,shape,pos,count
0,'x,PART,1
1,",",PUNCT,6
2,.,PUNCT,6
3,Xxx,ADV,3
4,Xxx,CCONJ,1
5,Xxx,NUM,1
6,Xxxx,ADJ,1
7,Xxxx,DET,1
8,Xxxx,INTJ,1
9,Xxxx,PROPN,1
10,Xxxxx,AUX,1
11,Xxxxx,NOUN,1
12,Xxxxx,PROPN,4
13,other.,PUNCT,9
14,x,DET,5
15,xx,ADP,12
16,xx,AUX,2
17,xx,DET,1
18,xx,PART,1
19,xx,PRON,1
20,xx,SCONJ,1
21,xx,VERB,1
22,xxx,ADP,3
23,xxx,ADV,1
24,xxx,AUX,8
25,xxx,CCONJ,3
26,xxx,DET,11
27,xxx,NOUN,1
28,xxx,NUM,1
29,xxx,PART,4
30,xxx,PRON,1
31,xxx,SCONJ,1
32,xxx,VERB,1
33,xxxx,ADJ,13
34,xxxx,ADP,7
35,xxxx,ADV,5
36,xxxx,AUX,2
37,xxxx,DET,11
38,xxxx,NOUN,39
39,xxxx,PRON,9
40,xxxx,SCONJ,1
41,xxxx,VERB,21
