,shape,pos,count
0,'x,PART,1
1,",",PUNCT,15
2,.,PUNCT,7
3,X.X.X,PROPN,1
4,Xxx,ADP,1
5,Xxxx,DET,1
6,Xxxx,NUM,1
7,Xxxx,PRON,1
8,Xxxxx,DET,1
9,Xxxxx,NOUN,3
10,other.,NUM,2
11,other.,PUNCT,5
12,x,DET,3
13,xx,ADP,15
14,xx,AUX,3
15,xx,CCONJ,3
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,2
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADP,2
22,xxx,AUX,2
23,xxx,CCONJ,4
24,xxx,DET,7
25,xxx,NOUN,4
26,xxx,PART,1
27,xxx,PRON,1
28,xxx,VERB,1
29,xxx/xx,CCONJ,1
30,xxxx,ADJ,17
31,xxxx,ADP,8
32,xxxx,ADV,8
33,xxxx,DET,1
34,xxxx,NOUN,44
35,xxxx,NUM,2
36,xxxx,PRON,4
37,xxxx,VERB,22
