,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,11
2,Xx,PRON,3
3,Xx,SCONJ,1
4,Xxx,DET,2
5,Xxx,PRON,3
6,Xxxxx,PRON,1
7,Xxxxx,PROPN,3
8,other.,PUNCT,2
9,x,DET,6
10,xx,ADP,19
11,xx,AUX,8
12,xx,PART,3
13,xx,PRON,5
14,xx,VERB,2
15,xxx,ADJ,4
16,xxx,ADP,3
17,xxx,ADV,1
18,xxx,AUX,2
19,xxx,CCONJ,8
20,xxx,DET,13
21,xxx,NOUN,2
22,xxx,NUM,1
23,xxx,PRON,8
24,xxx,VERB,1
25,xxxx,ADJ,14
26,xxxx,ADP,4
27,xxxx,ADV,5
28,xxxx,AUX,1
29,xxxx,DET,4
30,xxxx,NOUN,42
31,xxxx,NUM,1
32,xxxx,PRON,2
33,xxxx,SCONJ,4
34,xxxx,VERB,19
