,shape,pos,count
0,"""Xx",PUNCT,1
1,",",PUNCT,15
2,.,PUNCT,10
3,X,PRON,6
4,Xxx,ADV,2
5,Xxx,CCONJ,2
6,Xxx,DET,1
7,Xxxx,ADV,1
8,Xxxx,PRON,1
9,Xxxx,PROPN,2
10,Xxxxx,NUM,1
11,Xxxxx,PROPN,2
12,other.,INTJ,1
13,other.,PUNCT,6
14,x,DET,1
15,xx,ADP,13
16,xx,ADV,2
17,xx,AUX,1
18,xx,PART,1
19,xx,PRON,9
20,xx,SCONJ,2
21,xx,VERB,2
22,xxx,ADJ,1
23,xxx,ADP,5
24,xxx,AUX,5
25,xxx,CCONJ,8
26,xxx,DET,6
27,xxx,INTJ,1
28,xxx,NOUN,3
29,xxx,PART,2
30,xxx,PRON,13
31,xxx,SCONJ,2
32,xxx,VERB,6
33,xxxx,ADJ,9
34,xxxx,ADP,2
35,xxxx,ADV,5
36,xxxx,AUX,7
37,xxxx,DET,1
38,xxxx,NOUN,28
39,xxxx,NUM,1
40,xxxx,PRON,4
41,xxxx,SCONJ,2
42,xxxx,VERB,20
