,shape,pos,count
0,'x,PART,1
1,",",NUM,1
2,",",PUNCT,13
3,.,PUNCT,10
4,X,NOUN,1
5,X.X.,PROPN,1
6,Xx,ADP,1
7,Xx,PRON,1
8,Xxx,DET,4
9,Xxx,PROPN,2
10,Xxxx,ADV,1
11,Xxxx,PROPN,1
12,Xxxxx,ADJ,4
13,Xxxxx,PROPN,20
14,other.,NUM,5
15,other.,PUNCT,2
16,x,DET,4
17,xx,ADP,16
18,xx,DET,2
19,xx,PART,3
20,xx,PRON,2
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,AUX,4
24,xxx,CCONJ,1
25,xxx,DET,7
26,xxx,NOUN,4
27,xxx,PRON,2
28,xxxx,ADJ,4
29,xxxx,ADP,6
30,xxxx,ADV,2
31,xxxx,DET,1
32,xxxx,NOUN,36
33,xxxx,NUM,1
34,xxxx,PRON,2
35,xxxx,SCONJ,1
36,xxxx,VERB,27
