,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,13
2,X,DET,1
3,Xx,DET,1
4,Xx,PRON,1
5,Xxx,CCONJ,2
6,Xxx,DET,3
7,Xxxx,ADJ,1
8,Xxxx,PRON,1
9,Xxxx,PROPN,2
10,Xxxxx,ADJ,3
11,Xxxxx,PRON,1
12,Xxxxx,PROPN,9
13,Xxxxx,SCONJ,1
14,other.,ADJ,1
15,other.,PUNCT,5
16,x,DET,5
17,x'x,PART,1
18,xx,ADP,14
19,xx,ADV,1
20,xx,AUX,1
21,xx,DET,2
22,xx,PART,2
23,xx,SCONJ,1
24,xx,VERB,1
25,xxx,ADJ,3
26,xxx,ADP,2
27,xxx,AUX,6
28,xxx,CCONJ,4
29,xxx,DET,12
30,xxx,NOUN,3
31,xxx,PART,1
32,xxx,PRON,1
33,xxx,SCONJ,1
34,xxx,VERB,2
35,xxxx,ADJ,9
36,xxxx,ADP,8
37,xxxx,ADV,18
38,xxxx,AUX,5
39,xxxx,DET,1
40,xxxx,NOUN,27
41,xxxx,NUM,2
42,xxxx,PRON,8
43,xxxx,PROPN,1
44,xxxx,VERB,21
