,shape,pos,count
0,'x,PART,1
1,",",PUNCT,19
2,.,PUNCT,9
3,X.,PROPN,3
4,Xx,DET,1
5,XxXxxxx,PROPN,1
6,Xxx,DET,4
7,Xxx,PROPN,2
8,Xxxx,ADV,1
9,Xxxx,PROPN,3
10,Xxxxx,ADJ,6
11,Xxxxx,NOUN,2
12,Xxxxx,PROPN,22
13,other.,NUM,2
14,x,DET,3
15,xx,ADP,16
16,xx,AUX,1
17,xx,CCONJ,1
18,xx,PART,3
19,xx,PROPN,1
20,xx,VERB,1
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,AUX,4
24,xxx,CCONJ,6
25,xxx,DET,14
26,xxx,NOUN,2
27,xxx,PRON,5
28,xxx,SCONJ,1
29,xxx,VERB,1
30,xxxx,ADJ,12
31,xxxx,ADP,3
32,xxxx,ADV,6
33,xxxx,AUX,5
34,xxxx,DET,4
35,xxxx,NOUN,27
36,xxxx,PRON,2
37,xxxx,SCONJ,1
38,xxxx,VERB,18
