,shape,pos,count
0,'x,PART,2
1,",",PUNCT,16
2,.,PUNCT,9
3,Xx,ADP,1
4,Xx,DET,1
5,Xx,PRON,3
6,Xxx,ADP,3
7,Xxx,ADV,1
8,Xxxxx,NOUN,1
9,other.,PUNCT,5
10,x,DET,4
11,xx,ADP,7
12,xx,AUX,4
13,xx,CCONJ,3
14,xx,DET,1
15,xx,INTJ,1
16,xx,PART,8
17,xx,PRON,4
18,xx,SCONJ,1
19,xx,VERB,3
20,xxx,ADP,1
21,xxx,ADV,1
22,xxx,CCONJ,6
23,xxx,DET,7
24,xxx,NOUN,3
25,xxx,PART,1
26,xxx,PRON,3
27,xxx,VERB,4
28,xxxx,ADJ,13
29,xxxx,ADP,5
30,xxxx,ADV,11
31,xxxx,AUX,3
32,xxxx,DET,7
33,xxxx,NOUN,49
34,xxxx,PRON,4
35,xxxx,VERB,22
