,shape,pos,count
0,"""Xxxxx",NOUN,1
1,'x,PART,1
2,'xx,AUX,1
3,",",PUNCT,11
4,.,PUNCT,9
5,Xx,ADV,1
6,Xx,PRON,3
7,Xxx,PROPN,5
8,Xxxx,ADV,1
9,Xxxx,PROPN,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,1
12,x,DET,8
13,x'x,PART,1
14,xx,ADP,12
15,xx,ADV,1
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,6
19,xxx,ADP,1
20,xxx,AUX,4
21,xxx,CCONJ,13
22,xxx,DET,9
23,xxx,NUM,1
24,xxx,PRON,3
25,xxx,VERB,4
26,xxxx,ADJ,4
27,xxxx,ADP,5
28,xxxx,ADV,8
29,xxxx,AUX,1
30,xxxx,DET,3
31,xxxx,NOUN,29
32,xxxx,NUM,1
33,xxxx,PRON,3
34,xxxx,SCONJ,1
35,xxxx,VERB,20
36,"xxxx:""Xxx",INTJ,1
