,shape,pos,count
0,",",PUNCT,5
1,.,PUNCT,20
2,Xx,PRON,10
3,Xx,SCONJ,1
4,Xxx,PRON,1
5,Xxxx,ADJ,1
6,Xxxx,ADV,1
7,Xxxx,DET,1
8,Xxxx,PRON,2
9,Xxxxx,NOUN,3
10,other.,PROPN,1
11,other.,PUNCT,1
12,x,DET,7
13,xx,ADP,8
14,xx,ADV,2
15,xx,AUX,6
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,5
19,xx,VERB,5
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,3
23,xxx,DET,4
24,xxx,NUM,1
25,xxx,PART,3
26,xxx,VERB,1
27,xxxx,ADJ,20
28,xxxx,ADP,5
29,xxxx,ADV,15
30,xxxx,AUX,2
31,xxxx,DET,1
32,xxxx,NOUN,43
33,xxxx,SCONJ,3
34,xxxx,VERB,22
