,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,10
2,X,DET,1
3,XX,NOUN,1
4,XX,PROPN,4
5,XXX,NOUN,3
6,XXX,PROPN,4
7,XXX.Xxx,NOUN,1
8,XXX±X,ADJ,1
9,XXX±XX,PROPN,1
10,Xx,ADP,1
11,Xxx,DET,1
12,Xxx,PROPN,5
13,Xxxx,DET,2
14,Xxxx,PROPN,2
15,XxxxXxxxx,PROPN,1
16,Xxxxx,PROPN,1
17,Xxxxx,SCONJ,1
18,other.,NUM,3
19,other.,PUNCT,19
20,x,DET,6
21,xx,ADP,13
22,xx,ADV,1
23,xx,AUX,5
24,xx,CCONJ,1
25,xx,PART,3
26,xx,VERB,1
27,xxx,ADJ,2
28,xxx,ADP,3
29,xxx,AUX,3
30,xxx,CCONJ,6
31,xxx,DET,8
32,xxx,NOUN,3
33,xxx,PROPN,3
34,xxx,VERB,1
35,xxxx,ADJ,16
36,xxxx,ADP,3
37,xxxx,ADV,3
38,xxxx,AUX,1
39,xxxx,NOUN,42
40,xxxx,NUM,1
41,xxxx,PRON,2
42,xxxx,SCONJ,1
43,xxxx,VERB,13
