,shape,pos,count
0,'x,PART,2
1,",",PUNCT,14
2,.,PUNCT,7
3,Xx,ADV,1
4,Xxx,CCONJ,2
5,Xxx,PROPN,2
6,Xxxx,ADP,1
7,Xxxx,PROPN,1
8,Xxxxx,ADV,1
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,3
11,other.,PUNCT,9
12,x,DET,8
13,xx,ADP,7
14,xx,DET,1
15,xx,PART,3
16,xx,PRON,7
17,xxx,ADJ,5
18,xxx,ADP,1
19,xxx,AUX,4
20,xxx,CCONJ,10
21,xxx,DET,10
22,xxx,NOUN,3
23,xxx,NUM,3
24,xxx,PRON,8
25,xxx,VERB,3
26,xxxx,ADJ,12
27,xxxx,ADP,5
28,xxxx,ADV,6
29,xxxx,AUX,6
30,xxxx,DET,1
31,xxxx,NOUN,27
32,xxxx,NUM,2
33,xxxx,PRON,2
34,xxxx,SCONJ,3
35,xxxx,VERB,22
