,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,12
2,X,DET,1
3,Xxx,DET,2
4,Xxxx,DET,1
5,Xxxx,PRON,1
6,Xxxxx,ADP,1
7,Xxxxx,ADV,1
8,Xxxxx,DET,1
9,Xxxxx,NOUN,1
10,Xxxxx,PRON,2
11,Xxxxx,PROPN,3
12,other.,PUNCT,7
13,x,DET,6
14,xx,ADP,9
15,xx,AUX,2
16,xx,CCONJ,2
17,xx,PART,1
18,xx,PRON,2
19,xxx,ADJ,1
20,xxx,AUX,5
21,xxx,CCONJ,7
22,xxx,DET,5
23,xxx,NOUN,1
24,xxx,VERB,3
25,xxxx,ADJ,15
26,xxxx,ADP,6
27,xxxx,ADV,2
28,xxxx,AUX,1
29,xxxx,CCONJ,1
30,xxxx,DET,3
31,xxxx,NOUN,48
32,xxxx,PRON,1
33,xxxx,SCONJ,1
34,xxxx,VERB,18
