,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,9
2,Xx,ADP,1
3,Xx,PRON,3
4,Xxx,DET,1
5,Xxx,NUM,1
6,Xxx,PRON,1
7,Xxxx,ADJ,1
8,Xxxx,DET,1
9,Xxxx,PRON,1
10,Xxxxx,ADJ,1
11,other.,PUNCT,7
12,x,DET,8
13,xx,ADP,15
14,xx,ADV,1
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,9
19,xxx,ADP,1
20,xxx,AUX,3
21,xxx,CCONJ,8
22,xxx,DET,6
23,xxx,NOUN,6
24,xxx,NUM,3
25,xxx,PART,1
26,xxx,PRON,5
27,xxx,VERB,2
28,xxxx,ADJ,11
29,xxxx,ADP,7
30,xxxx,ADV,6
31,xxxx,AUX,3
32,xxxx,DET,2
33,xxxx,NOUN,27
34,xxxx,SCONJ,1
35,xxxx,VERB,16
