,shape,pos,count
0,'x,PART,2
1,",",PUNCT,13
2,.,PUNCT,11
3,X,DET,1
4,Xx,ADP,2
5,Xx,PRON,1
6,Xxx,AUX,1
7,Xxx,DET,2
8,Xxx,NUM,1
9,Xxxx,ADV,1
10,Xxxx,NUM,1
11,Xxxx,PROPN,1
12,Xxxxx,PROPN,6
13,Xxxxx,VERB,1
14,other.,NUM,1
15,other.,PUNCT,5
16,x,DET,5
17,xx,ADP,12
18,xx,DET,1
19,xx,NOUN,1
20,xx,PART,2
21,xx,PRON,8
22,xxx,ADP,6
23,xxx,AUX,1
24,xxx,CCONJ,9
25,xxx,DET,10
26,xxx,NOUN,3
27,xxx,PRON,10
28,xxx,SCONJ,1
29,xxx,VERB,5
30,xxxx,ADJ,14
31,xxxx,ADP,6
32,xxxx,AUX,3
33,xxxx,DET,2
34,xxxx,NOUN,37
35,xxxx,PRON,3
36,xxxx,SCONJ,1
37,xxxx,VERB,21
38,"xxxx?""""Xxx",VERB,1
