,shape,pos,count
0,",",PUNCT,7
1,.,PUNCT,18
2,X,DET,3
3,XX,NOUN,2
4,XXX,NOUN,3
5,XXX,PROPN,1
6,Xx,ADP,1
7,Xxx,DET,5
8,Xxxx,ADJ,1
9,Xxxx,DET,1
10,Xxxx,PRON,1
11,Xxxx,PROPN,1
12,Xxxxx,ADJ,1
13,Xxxxx,ADP,1
14,Xxxxx,NOUN,2
15,Xxxxx,PRON,1
16,Xxxxx,PROPN,8
17,other.,NUM,1
18,other.,PUNCT,15
19,x,DET,6
20,xx,ADP,6
21,xx,AUX,6
22,xx,CCONJ,5
23,xx,PART,4
24,xx,PRON,1
25,xx,VERB,2
26,xxx,ADP,4
27,xxx,ADV,1
28,xxx,AUX,9
29,xxx,CCONJ,6
30,xxx,DET,11
31,xxx,NOUN,2
32,xxx,VERB,3
33,xxxx,ADJ,16
34,xxxx,ADP,4
35,xxxx,ADV,7
36,xxxx,DET,1
37,xxxx,NOUN,55
38,xxxx,PRON,1
39,xxxx,SCONJ,2
40,xxxx,VERB,15
