,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,8
2,Xx,DET,1
3,Xxx,ADP,1
4,Xxx,CCONJ,1
5,Xxx,DET,1
6,Xxxx,ADJ,1
7,Xxxx,NOUN,1
8,Xxxxx,ADJ,1
9,Xxxxx,DET,1
10,Xxxxx,NOUN,2
11,other.,PUNCT,9
12,x,DET,3
13,xx,ADP,10
14,xx,ADV,1
15,xx,AUX,2
16,xx,CCONJ,1
17,xx,PART,2
18,xx,PRON,1
19,xx,VERB,2
20,xxx,ADJ,5
21,xxx,ADP,3
22,xxx,AUX,6
23,xxx,CCONJ,9
24,xxx,DET,7
25,xxx,NUM,4
26,xxx,VERB,6
27,xxxx,ADJ,16
28,xxxx,ADP,2
29,xxxx,ADV,10
30,xxxx,AUX,1
31,xxxx,DET,9
32,xxxx,NOUN,58
33,xxxx,PRON,4
34,xxxx,SCONJ,3
35,xxxx,VERB,18
36,xxxx)—xxxx,NOUN,1
