,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,4
2,X,PRON,1
3,Xxx,CCONJ,1
4,Xxx,DET,1
5,Xxx,VERB,1
6,Xxxx,DET,1
7,Xxxx,PRON,1
8,Xxxx,VERB,1
9,other.,PUNCT,4
10,x,DET,2
11,xx,ADP,19
12,xx,ADV,1
13,xx,AUX,2
14,xx,PART,2
15,xx,PRON,4
16,xx,SCONJ,1
17,xxx,ADJ,1
18,xxx,ADV,3
19,xxx,AUX,3
20,xxx,CCONJ,2
21,xxx,DET,17
22,xxx,NUM,1
23,xxx,PART,1
24,xxx,PRON,5
25,xxx,VERB,2
26,xxxx,ADJ,18
27,xxxx,ADP,9
28,xxxx,ADV,2
29,xxxx,AUX,2
30,xxxx,DET,5
31,xxxx,NOUN,37
32,xxxx,PRON,10
33,xxxx,SCONJ,4
34,xxxx,VERB,17
35,"xxxx,—xxx",DET,1
