,shape,pos,count
0,"'""Xxxx",PRON,1
1,'x,PART,1
2,",",PUNCT,14
3,.,PUNCT,7
4,X,PRON,3
5,Xx,ADP,2
6,Xxx,ADV,2
7,Xxx,AUX,1
8,Xxx,DET,1
9,Xxx,INTJ,1
10,Xxxx,PROPN,7
11,Xxxxx,PROPN,4
12,other.,PUNCT,13
13,x,DET,1
14,xx,ADP,17
15,xx,ADV,2
16,xx,AUX,2
17,xx,PART,4
18,xx,PRON,2
19,xx,VERB,2
20,xxx,ADP,2
21,xxx,ADV,2
22,xxx,AUX,2
23,xxx,CCONJ,11
24,xxx,DET,21
25,xxx,NOUN,5
26,xxx,NUM,3
27,xxx,PRON,7
28,xxx,VERB,4
29,xxxx,ADJ,7
30,xxxx,ADP,1
31,xxxx,ADV,12
32,xxxx,AUX,2
33,xxxx,DET,1
34,xxxx,NOUN,16
35,xxxx,NUM,2
36,xxxx,PRON,5
37,xxxx,SCONJ,1
38,xxxx,VERB,18
