,shape,pos,count
0,"""Xxxx",NOUN,2
1,",",PUNCT,12
2,.,PUNCT,12
3,Xx,PRON,3
4,Xx,PROPN,1
5,Xxx,CCONJ,2
6,Xxx,DET,1
7,Xxx,PRON,1
8,Xxxx,ADV,1
9,Xxxx,PROPN,1
10,Xxxxx,ADP,1
11,Xxxxx,PROPN,12
12,other.,PUNCT,10
13,x,DET,4
14,xx,ADP,17
15,xx,ADV,1
16,xx,DET,2
17,xx,PART,3
18,xx,PRON,1
19,xxx,AUX,8
20,xxx,CCONJ,7
21,xxx,DET,6
22,xxx,NOUN,3
23,xxx,PART,1
24,xxx,PRON,14
25,xxx,VERB,6
26,xxxx,ADJ,14
27,xxxx,ADP,8
28,xxxx,ADV,5
29,xxxx,AUX,3
30,xxxx,DET,3
31,xxxx,INTJ,1
32,xxxx,NOUN,38
33,xxxx,NUM,1
34,xxxx,PRON,2
35,xxxx,SCONJ,1
36,xxxx,VERB,24
37,"xxxx!""Xxx",DET,1
38,"xxxx!""Xxxxx",NOUN,1
