,shape,pos,count
0,'x,PART,1
1,",",PUNCT,10
2,.,PUNCT,4
3,X,PRON,2
4,Xxx,CCONJ,2
5,Xxx,DET,1
6,Xxx,PROPN,1
7,Xxxx,ADV,2
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,3
10,other.,PUNCT,7
11,x,DET,4
12,xx,ADP,11
13,xx,ADV,1
14,xx,DET,1
15,xx,PRON,8
16,xx,SCONJ,2
17,xx,VERB,1
18,xxx,ADP,1
19,xxx,ADV,1
20,xxx,AUX,2
21,xxx,CCONJ,12
22,xxx,DET,15
23,xxx,PART,2
24,xxx,PRON,5
25,xxx,SCONJ,2
26,xxx,VERB,5
27,xxxx,ADJ,6
28,xxxx,ADP,4
29,xxxx,ADV,5
30,xxxx,AUX,6
31,xxxx,DET,3
32,xxxx,NOUN,29
33,xxxx,PRON,7
34,xxxx,SCONJ,5
35,xxxx,VERB,18
36,"xxxx,—""Xxxx",DET,1
