,shape,pos,count
0,"""""Xxx",PUNCT,1
1,'x,PART,1
2,",",PUNCT,22
3,.,PUNCT,7
4,X,DET,1
5,X,PRON,1
6,Xx,ADV,1
7,Xx,AUX,1
8,Xx,PRON,3
9,Xxx,ADV,1
10,Xxx,CCONJ,1
11,Xxx,NUM,1
12,Xxxx,ADV,2
13,Xxxx,PROPN,1
14,Xxxxx,PROPN,14
15,other.,PUNCT,15
16,x,DET,10
17,xx,ADP,10
18,xx,ADV,1
19,xx,AUX,1
20,xx,PART,4
21,xx,PRON,1
22,xx,VERB,3
23,xxx,ADP,3
24,xxx,ADV,1
25,xxx,AUX,1
26,xxx,CCONJ,14
27,xxx,DET,10
28,xxx,NOUN,7
29,xxx,PRON,3
30,xxx,SCONJ,1
31,xxx,VERB,2
32,xxxx,ADJ,16
33,xxxx,ADP,7
34,xxxx,ADV,6
35,xxxx,AUX,3
36,xxxx,NOUN,35
37,xxxx,PRON,4
38,xxxx,VERB,22
