,shape,pos,count
0,'x,PART,3
1,",",PUNCT,4
2,.,PUNCT,24
3,X,DET,1
4,Xx,AUX,1
5,Xx,PRON,1
6,Xxx,DET,3
7,Xxx,PRON,2
8,Xxxx,NOUN,3
9,Xxxx,PRON,6
10,Xxxx,PROPN,3
11,Xxxx,VERB,4
12,Xxxxx,ADJ,1
13,Xxxxx,ADP,1
14,Xxxxx,ADV,2
15,Xxxxx,NOUN,1
16,Xxxxx,PROPN,13
17,other.,PUNCT,16
18,x,DET,5
19,x'x,PART,1
20,xx,ADP,8
21,xx,AUX,1
22,xx,PRON,4
23,xx,VERB,2
24,xxx,ADP,1
25,xxx,ADV,1
26,xxx,AUX,1
27,xxx,CCONJ,6
28,xxx,DET,14
29,xxx,NOUN,9
30,xxx,PRON,6
31,xxx,VERB,2
32,xxxx,ADJ,6
33,xxxx,ADP,5
34,xxxx,ADV,3
35,xxxx,AUX,3
36,xxxx,NOUN,30
37,xxxx,PRON,5
38,xxxx,VERB,22
