,shape,pos,count
0,'x,AUX,1
1,'x,PART,1
2,'xx,AUX,1
3,'xx,VERB,1
4,",",PUNCT,9
5,.,PUNCT,27
6,X,PRON,2
7,Xx,PRON,3
8,Xxx,ADV,2
9,Xxx,CCONJ,3
10,Xxx,INTJ,1
11,Xxx,NUM,1
12,Xxx,PRON,4
13,Xxx,VERB,1
14,Xxxx,ADV,2
15,Xxxx,AUX,1
16,Xxxx,PRON,2
17,Xxxx,PROPN,24
18,Xxxx,VERB,1
19,Xxxxx,PRON,1
20,Xxxxx,PROPN,2
21,Xxxxx,SCONJ,1
22,Xxxxx,VERB,1
23,other.,PUNCT,30
24,x,DET,6
25,x'x,PART,1
26,xx,ADP,7
27,xx,AUX,1
28,xx,DET,2
29,xx,PART,2
30,xx,PRON,3
31,xx,VERB,3
32,xxx,ADV,2
33,xxx,AUX,5
34,xxx,CCONJ,8
35,xxx,DET,4
36,xxx,NOUN,2
37,xxx,NUM,1
38,xxx,PRON,10
39,xxx,SCONJ,1
40,xxx,VERB,2
41,xxxx,ADJ,4
42,xxxx,ADP,7
43,xxxx,ADV,7
44,xxxx,AUX,2
45,xxxx,NOUN,28
46,xxxx,PRON,1
47,xxxx,VERB,33
