,shape,pos,count
0,",",PUNCT,16
1,.,NUM,1
2,.,PUNCT,14
3,XXX,PROPN,1
4,XXXX,NOUN,1
5,XXXX,PROPN,1
6,XXXXx,NOUN,1
7,XXx,NOUN,2
8,XXxx,PROPN,1
9,Xx,PRON,2
10,Xxxx,DET,2
11,Xxxx,NOUN,1
12,Xxxx,PROPN,1
13,Xxxxx,ADV,1
14,Xxxxx,NOUN,1
15,Xxxxx,PRON,1
16,Xxxxx,PROPN,8
17,ddddx,NOUN,1
18,other.,NUM,2
19,other.,PUNCT,3
20,other.,SYM,1
21,x,DET,5
22,xx,ADP,7
23,xx,AUX,5
24,xx,CCONJ,2
25,xx,PART,4
26,xx,PRON,1
27,xx,VERB,1
28,xxx,ADJ,1
29,xxx,ADP,3
30,xxx,ADV,1
31,xxx,AUX,7
32,xxx,CCONJ,4
33,xxx,DET,6
34,xxx,VERB,3
35,xxxx,ADJ,15
36,xxxx,ADP,6
37,xxxx,ADV,4
38,xxxx,DET,2
39,xxxx,NOUN,43
40,xxxx,PRON,1
41,xxxx,VERB,14
