,shape,pos,count
0,'x,PART,1
1,",",PUNCT,6
2,.,PUNCT,7
3,X,PRON,2
4,Xx,ADP,2
5,Xx,PRON,1
6,Xxx,PRON,2
7,Xxxx,PROPN,1
8,Xxxxx,ADV,1
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,3
11,other.,PUNCT,4
12,x,DET,2
13,xx,ADP,13
14,xx,ADV,1
15,xx,AUX,2
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,3
19,xx,PRON,3
20,xx,VERB,1
21,xxx,ADJ,4
22,xxx,ADP,2
23,xxx,ADV,1
24,xxx,AUX,5
25,xxx,CCONJ,12
26,xxx,DET,4
27,xxx,NUM,1
28,xxx,PRON,15
29,xxx,VERB,4
30,xxxx,ADJ,11
31,xxxx,ADP,4
32,xxxx,ADV,13
33,xxxx,AUX,1
34,xxxx,DET,2
35,xxxx,NOUN,33
36,xxxx,PRON,3
37,xxxx,SCONJ,5
38,xxxx,VERB,15
