,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,17
2,Xx,DET,1
3,Xx,PRON,9
4,Xx.,PROPN,1
5,Xxx,DET,1
6,Xxxx,ADV,1
7,Xxxxx,ADJ,1
8,Xxxxx,NOUN,1
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,5
11,other.,PUNCT,6
12,x,DET,9
13,xx,ADP,7
14,xx,ADV,1
15,xx,PRON,6
16,xx,VERB,1
17,xxx,ADP,1
18,xxx,AUX,14
19,xxx,CCONJ,13
20,xxx,DET,7
21,xxx,NOUN,3
22,xxx,NUM,1
23,xxx,PART,1
24,xxx,PRON,5
25,xxx,SCONJ,1
26,xxx,VERB,4
27,xxxx,ADJ,21
28,xxxx,ADP,10
29,xxxx,ADV,11
30,xxxx,AUX,4
31,xxxx,DET,1
32,xxxx,NOUN,26
33,xxxx,PRON,2
34,xxxx,SCONJ,1
35,xxxx,VERB,19
