,shape,pos,count
0,'x,PART,1
1,",",PUNCT,11
2,.,PUNCT,10
3,XXX,NOUN,1
4,XXX,PROPN,2
5,XXX+,NOUN,1
6,XXXX,PROPN,2
7,Xd,PROPN,1
8,Xx,ADP,1
9,Xx,PRON,2
10,Xxx,ADP,1
11,Xxx,DET,1
12,Xxxx,DET,1
13,Xxxxx,ADJ,1
14,Xxxxx,NOUN,3
15,Xxxxx,PROPN,2
16,other.,PUNCT,8
17,x,DET,4
18,xx,ADP,21
19,xx,AUX,5
20,xx,CCONJ,1
21,xx,DET,1
22,xx,PART,2
23,xx,PRON,1
24,xx,VERB,2
25,xxx,ADJ,1
26,xxx,ADP,1
27,xxx,AUX,2
28,xxx,CCONJ,8
29,xxx,DET,8
30,xxx,PART,1
31,xxx,PRON,2
32,xxx,VERB,1
33,xxxx,ADJ,14
34,xxxx,ADP,4
35,xxxx,ADV,13
36,xxxx,DET,4
37,xxxx,NOUN,57
38,xxxx,SCONJ,1
39,xxxx,VERB,22
