,shape,pos,count
0,"""Xx",PUNCT,1
1,'x,PART,2
2,",",PUNCT,12
3,.,PUNCT,7
4,X,DET,1
5,X,PRON,1
6,Xx,PROPN,1
7,Xxx,CCONJ,1
8,Xxx,INTJ,1
9,Xxx,PRON,1
10,Xxxx,PROPN,1
11,Xxxx,VERB,1
12,Xxxxx,PROPN,3
13,other.,PART,1
14,other.,PUNCT,10
15,x,DET,6
16,x'x,PART,1
17,xx,ADP,12
18,xx,ADV,2
19,xx,AUX,1
20,xx,PRON,2
21,xx,SCONJ,1
22,xx,VERB,1
23,xxx,ADP,1
24,xxx,ADV,1
25,xxx,AUX,1
26,xxx,CCONJ,8
27,xxx,DET,13
28,xxx,NOUN,2
29,xxx,NUM,2
30,xxx,PART,1
31,xxx,PRON,7
32,xxx,VERB,1
33,xxxx,ADJ,10
34,xxxx,ADP,6
35,xxxx,ADV,11
36,xxxx,AUX,5
37,xxxx,NOUN,33
38,xxxx,NUM,1
39,xxxx,PRON,4
40,xxxx,SCONJ,2
41,xxxx,VERB,18
