,shape,pos,count
0,"""Xxxx",DET,1
1,'x,PART,1
2,",",PUNCT,13
3,.,PUNCT,4
4,X,PRON,1
5,Xx,PRON,1
6,Xxx,PROPN,1
7,Xxxx,PROPN,5
8,Xxxx,VERB,1
9,Xxxxx,ADV,2
10,Xxxxx,PROPN,3
11,other.,PUNCT,16
12,x,DET,1
13,xx,ADP,16
14,xx,AUX,3
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,2
18,xx,PRON,4
19,xxx,ADP,2
20,xxx,ADV,1
21,xxx,AUX,6
22,xxx,CCONJ,6
23,xxx,DET,15
24,xxx,NOUN,2
25,xxx,PART,1
26,xxx,PRON,9
27,xxxx,ADJ,10
28,xxxx,ADP,8
29,xxxx,ADV,9
30,xxxx,AUX,3
31,xxxx,DET,4
32,xxxx,NOUN,35
33,xxxx,NUM,1
34,xxxx,PRON,1
35,xxxx,SCONJ,2
36,xxxx,VERB,23
