,shape,pos,count
0,"""""Xx",PUNCT,1
1,"""Xxxxx",NOUN,1
2,'xx,AUX,3
3,",",PUNCT,16
4,.,PUNCT,8
5,X,PRON,9
6,Xx,ADV,1
7,Xx,SCONJ,1
8,Xx.,PROPN,5
9,Xxx,CCONJ,1
10,Xxx,PRON,2
11,Xxxx,INTJ,1
12,Xxxxx,ADV,1
13,Xxxxx,PROPN,10
14,Xxxxx,VERB,1
15,other.,CCONJ,1
16,other.,PUNCT,17
17,x,DET,3
18,x'x,PART,1
19,xx,ADP,16
20,xx,ADV,3
21,xx,AUX,2
22,xx,INTJ,1
23,xx,PART,6
24,xx,PRON,8
25,xx,SCONJ,1
26,xx,VERB,6
27,xxx,ADJ,2
28,xxx,ADP,3
29,xxx,AUX,6
30,xxx,CCONJ,5
31,xxx,DET,4
32,xxx,NOUN,5
33,xxx,NUM,1
34,xxx,PRON,8
35,xxx,VERB,4
36,xxxx,ADJ,7
37,xxxx,ADP,1
38,xxxx,ADV,9
39,xxxx,AUX,1
40,xxxx,DET,3
41,xxxx,NOUN,27
42,xxxx,PRON,2
43,xxxx,VERB,23
