,shape,pos,count
0,'x,PART,2
1,",",PUNCT,14
2,.,PUNCT,6
3,X,DET,1
4,X,PRON,3
5,Xx,ADP,2
6,Xx,ADV,1
7,Xx,SCONJ,1
8,Xxx,ADV,1
9,Xxxx,ADV,1
10,Xxxxx,SCONJ,1
11,Xxxxx,VERB,1
12,other.,PUNCT,16
13,x,DET,7
14,xx,ADP,12
15,xx,ADV,3
16,xx,DET,1
17,xx,PART,2
18,xx,PRON,8
19,xx,SCONJ,1
20,xx,VERB,2
21,xxx,ADJ,2
22,xxx,ADV,1
23,xxx,AUX,2
24,xxx,CCONJ,8
25,xxx,DET,13
26,xxx,NOUN,3
27,xxx,PRON,11
28,xxx,VERB,7
29,xxxx,ADJ,6
30,xxxx,ADP,5
31,xxxx,ADV,12
32,xxxx,AUX,3
33,xxxx,DET,3
34,xxxx,NOUN,25
35,xxxx,PRON,4
36,xxxx,SCONJ,4
37,xxxx,VERB,20
