,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,9
2,Xx,VERB,1
3,Xxx,CCONJ,2
4,Xxx,DET,1
5,Xxx,VERB,1
6,Xxxx,ADV,1
7,Xxxx,PRON,1
8,Xxxx,PROPN,4
9,Xxxxx,ADP,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,7
12,other.,PUNCT,5
13,x,DET,1
14,xx,ADP,18
15,xx,ADV,1
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,4
19,xx,VERB,1
20,xxx,ADV,1
21,xxx,AUX,4
22,xxx,CCONJ,11
23,xxx,DET,14
24,xxx,NOUN,1
25,xxx,NUM,1
26,xxx,PRON,5
27,xxx,VERB,2
28,xxxx,ADJ,8
29,xxxx,ADP,6
30,xxxx,ADV,2
31,xxxx,AUX,3
32,xxxx,DET,2
33,xxxx,NOUN,25
34,xxxx,PRON,2
35,xxxx,SCONJ,2
36,xxxx,VERB,20
