,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,7
2,Xx,CCONJ,1
3,Xxxx,ADJ,1
4,Xxxx,ADP,1
5,Xxxx,NOUN,1
6,Xxxxx,ADP,1
7,Xxxxx,DET,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,1
10,other.,NUM,1
11,other.,PUNCT,2
12,x,DET,5
13,xx,ADP,12
14,xx,CCONJ,3
15,xx,DET,2
16,xx,PART,6
17,xx,SCONJ,2
18,xx,VERB,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,3
22,xxx,CCONJ,9
23,xxx,DET,11
24,xxx,PRON,4
25,xxx,VERB,5
26,xxxx,ADJ,16
27,xxxx,ADP,7
28,xxxx,ADV,5
29,xxxx,AUX,3
30,xxxx,DET,6
31,xxxx,NOUN,49
32,xxxx,NUM,1
33,xxxx,PRON,14
34,xxxx,VERB,24
