,shape,pos,count
0,",",PUNCT,22
1,.,NUM,1
2,.,PUNCT,6
3,/xxx/,PUNCT,1
4,XX,PROPN,1
5,XXX,PROPN,5
6,XXXX,PROPN,1
7,Xx,PRON,1
8,XxxX,ADJ,1
9,XxxX,NOUN,2
10,XxxX,PRON,2
11,Xxxxx,PROPN,4
12,Xxxxx,VERB,1
13,dd.dxx,NOUN,1
14,other.,NOUN,1
15,other.,NUM,4
16,other.,PUNCT,16
17,other.,SYM,2
18,x,DET,7
19,xx,ADP,12
20,xx,ADV,1
21,xx,AUX,5
22,xx,PART,1
23,xxx,ADP,2
24,xxx,AUX,2
25,xxx,CCONJ,5
26,xxx,DET,2
27,xxx,NOUN,1
28,xxxx,ADJ,4
29,xxxx,ADP,2
30,xxxx,ADV,4
31,xxxx,AUX,2
32,xxxx,DET,1
33,xxxx,NOUN,58
34,xxxx,NUM,1
35,xxxx,VERB,14
