,shape,pos,count
0,"""Xx",PUNCT,2
1,",",PUNCT,7
2,.,PUNCT,6
3,Xx,PRON,1
4,Xxx,ADV,1
5,Xxx,CCONJ,1
6,Xxxx,PROPN,2
7,Xxxxx,ADP,1
8,Xxxxx,PROPN,3
9,other.,PUNCT,8
10,x,DET,1
11,xx,ADP,10
12,xx,DET,1
13,xx,PART,1
14,xx,PRON,5
15,xx,VERB,4
16,xxx,ADJ,2
17,xxx,ADP,3
18,xxx,ADV,3
19,xxx,AUX,2
20,xxx,CCONJ,5
21,xxx,DET,14
22,xxx,NOUN,2
23,xxx,PART,1
24,xxx,PRON,6
25,xxx,VERB,3
26,xxxx,ADJ,7
27,xxxx,ADP,3
28,xxxx,ADV,6
29,xxxx,AUX,8
30,xxxx,DET,4
31,xxxx,NOUN,24
32,xxxx,PRON,2
33,xxxx,SCONJ,2
34,xxxx,VERB,14
