,shape,pos,count
0,'x,PART,1
1,'xx,AUX,1
2,",",PUNCT,15
3,.,PUNCT,7
4,Xx,PRON,3
5,Xxx,CCONJ,1
6,Xxx,DET,1
7,Xxx,PROPN,7
8,Xxxx,ADV,2
9,Xxxx,PROPN,3
10,Xxxx,VERB,1
11,Xxxxx,PROPN,1
12,Xxxxx,VERB,1
13,other.,PUNCT,6
14,x,DET,2
15,xx,ADP,15
16,xx,ADV,1
17,xx,DET,2
18,xx,PART,9
19,xx,PRON,8
20,xxx,ADJ,3
21,xxx,ADP,5
22,xxx,ADV,1
23,xxx,AUX,3
24,xxx,CCONJ,7
25,xxx,DET,8
26,xxx,NOUN,4
27,xxx,NUM,1
28,xxx,PART,1
29,xxx,PRON,11
30,xxx,VERB,6
31,xxxx,ADJ,7
32,xxxx,ADP,4
33,xxxx,ADV,5
34,xxxx,DET,4
35,xxxx,NOUN,27
36,xxxx,PRON,2
37,xxxx,SCONJ,1
38,xxxx,VERB,29
